%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000165	L000139	2	1	145	30
T000166	L000062	2	2	200	40
T000167	L000004	2	2	250	50
T000168	L000000	1	2	135	55
T000169	L000004	1	1	130	45
T000170	L000000	1	2	135	45
T000171	L000001	2	1	145	55
T000172	L000062	1	2	205	45
T000173	L000157	2	2	250	60
T000174	L000003	3	1	160	50
T000175	L000139	1	1	160	55
T000176	L000139	2	2	250	35
