%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000044	17100000	19800000	L000008	19800000	22500000	L000177
O000045	22500000	23400000	L000028	22500000	26100000	L000072
O000046	22500000	25200000	L000080	25200000	27000000	L000139
O000047	6300000	8100000	L000174	6300000	9000000	L000178
O000048	9900000	10800000	L000005	9900000	12600000	L000129
O000049	9900000	13500000	L000129	11700000	14400000	L000001
O000050	12600000	14400000	L000001	17100000	18900000	L000005
O000051	18000000	19800000	L000139	20700000	23400000	L000004
O000052	8100000	9900000	L000083	9000000	10800000	L000058
O000053	9000000	11700000	L000073	13500000	14400000	L000000
O000054	7200000	9900000	L000073	9900000	11700000	L000147
O000055	6300000	10800000	L000028	7200000	12600000	L000174
O000056	9000000	11700000	L000164	10800000	13500000	L000079
O000057	11700000	15300000	L000195	13500000	16200000	L000000
O000058	2700000	10800000	L000075	6300000	12600000	L000083
O000059	9000000	11700000	L000088	12600000	13500000	L000154
O000060	12600000	13500000	L000154	14400000	16200000	L000094
O000061	12600000	15300000	L000094	15300000	18000000	L000177
O000062	15300000	22500000	L000088	17100000	23400000	L000005
O000063	18900000	21600000	L000005	19800000	23400000	L000062
O000064	20700000	22500000	L000090	22500000	24300000	L000183
O000065	22500000	25200000	L000183	26100000	27000000	L000000
O000066	10800000	11700000	L000096	10800000	12600000	L000075
O000067	9000000	14400000	L000045	10800000	18000000	L000110
O000068	12600000	14400000	L000117	12600000	15300000	L000064
O000069	12600000	17100000	L000120	19800000	21600000	L000000
O000070	0	6300000	L000080	2700000	9000000	L000107
O000071	4500000	5400000	L000109	4500000	7200000	L000126
O000072	3600000	7200000	L000014	4500000	9900000	L000159
O000073	7200000	9900000	L000077	9000000	12600000	L000040
O000074	7200000	10800000	L000077	9000000	13500000	L000062
O000075	2700000	7200000	L000140	4500000	9000000	L000106
O000076	2700000	9000000	L000106	6300000	12600000	L000001
O000077	4500000	6300000	L000031	4500000	7200000	L000006
O000078	2700000	10800000	L000006	4500000	12600000	L000174
O000079	8100000	9900000	L000174	9900000	11700000	L000003
O000080	4500000	6300000	L000079	5400000	6300000	L000135
O000081	5400000	7200000	L000135	9000000	9900000	L000139
O000082	2700000	8100000	L000186	5400000	9900000	L000040
O000083	6300000	8100000	L000040	6300000	9900000	L000045
O000084	5400000	12600000	L000147	9000000	14400000	L000056
O000085	7200000	10800000	L000081	8100000	12600000	L000141
O000086	8100000	9900000	L000081	9900000	10800000	L000141
O000087	9000000	14400000	L000001	12600000	17100000	L000033
O000088	10800000	12600000	L000001	18000000	19800000	L000000
O000089	2700000	6300000	L000097	5400000	9000000	L000192
O000090	5400000	8100000	L000146	7200000	9900000	L000003
O000091	2700000	7200000	L000186	3600000	10800000	L000072
O000092	9000000	15300000	L000002	14400000	20700000	L000109
O000093	15300000	19800000	L000109	18900000	22500000	L000001
O000094	2700000	4500000	L000114	2700000	5400000	L000015
O000095	3600000	4500000	L000015	3600000	5400000	L000030
O000096	4500000	5400000	L000097	4500000	6300000	L000118
O000097	3600000	5400000	L000118	5400000	9000000	L000156
O000098	3600000	9000000	L000156	6300000	9900000	L000139
O000099	3600000	9000000	L000009	3600000	10800000	L000025
O000100	4500000	9000000	L000091	7200000	10800000	L000186
O000101	8100000	10800000	L000187	9000000	12600000	L000003
O000102	2700000	6300000	L000050	2700000	8100000	L000094
O000103	1800000	6300000	L000050	3600000	7200000	L000004
O000104	5400000	6300000	L000053	7200000	9000000	L000008
O000105	8100000	12600000	L000147	11700000	15300000	L000004
O000106	3600000	7200000	L000149	7200000	9000000	L000039
O000107	9900000	13500000	L000154	11700000	14400000	L000098
O000108	10800000	13500000	L000003	13500000	15300000	L000139
O000109	6300000	10800000	L000004	10800000	12600000	L000144
O000110	3600000	5400000	L000048	4500000	7200000	L000092
O000111	5400000	6300000	L000092	6300000	9000000	L000167
O000112	3600000	9000000	L000167	6300000	11700000	L000185
O000113	8100000	10800000	L000051	9000000	11700000	L000004
O000114	6300000	11700000	L000181	11700000	15300000	L000011
O000115	10800000	15300000	L000096	13500000	18000000	L000182
O000116	13500000	18900000	L000162	18900000	20700000	L000071
O000117	18900000	20700000	L000138	18900000	21600000	L000084
O000118	22500000	23400000	L000196	24300000	27900000	L000105
O000119	20700000	30600000	L000105	27900000	36000000	L000000
O000120	4500000	7200000	L000006	5400000	9000000	L000132
O000121	9000000	9900000	L000001	11700000	13500000	L000072
O000122	12600000	15300000	L000155	13500000	16200000	L000003
O000123	6300000	8100000	L000176	8100000	9900000	L000111
O000124	6300000	13500000	L000148	8100000	18000000	L000030
O000125	11700000	17100000	L000024	15300000	19800000	L000000
O000126	3600000	7200000	L000065	4500000	8100000	L000020
O000127	5400000	7200000	L000020	9900000	11700000	L000163
O000128	4500000	5400000	L000027	4500000	7200000	L000072
O000129	5400000	7200000	L000024	5400000	9000000	L000004
O000130	6300000	8100000	L000165	8100000	10800000	L000123
O000131	7200000	9900000	L000125	8100000	11700000	L000006
O000132	8100000	9900000	L000006	12600000	15300000	L000000
O000133	4500000	7200000	L000007	4500000	9900000	L000168
O000134	7200000	8100000	L000168	9000000	9900000	L000062
O000135	11700000	12600000	L000004	14400000	18900000	L000143
O000136	18000000	20700000	L000130	20700000	22500000	L000033
O000137	19800000	21600000	L000033	20700000	22500000	L000114
O000138	18900000	24300000	L000114	27000000	32400000	L000002
O000139	5400000	9000000	L000044	5400000	11700000	L000116
O000140	8100000	10800000	L000044	8100000	12600000	L000116
O000141	7200000	9000000	L000044	8100000	10800000	L000116
O000142	9000000	10800000	L000163	10800000	12600000	L000147
O000143	9000000	10800000	L000163	10800000	12600000	L000147
O000144	10800000	13500000	L000136	12600000	17100000	L000139
O000145	11700000	13500000	L000136	13500000	15300000	L000139
O000146	7200000	8100000	L000187	9000000	10800000	L000116
O000147	8100000	11700000	L000116	9000000	13500000	L000085
O000148	6300000	7200000	L000071	7200000	9900000	L000178
O000149	7200000	8100000	L000198	7200000	9000000	L000153
O000150	7200000	8100000	L000153	7200000	8100000	L000185
O000151	6300000	8100000	L000185	7200000	9900000	L000147
O000152	8100000	9900000	L000188	9900000	12600000	L000057
O000153	10800000	11700000	L000057	10800000	11700000	L000040
O000154	8100000	9900000	L000188	12600000	15300000	L000196
O000155	12600000	14400000	L000196	12600000	17100000	L000189
O000156	10800000	16200000	L000196	14400000	18000000	L000062
O000157	1800000	7200000	L000039	4500000	8100000	L000159
O000158	7200000	9000000	L000129	9000000	10800000	L000004
O000159	8100000	9900000	L000032	10800000	12600000	L000190
O000160	9000000	9900000	L000032	12600000	14400000	L000077
O000161	10800000	12600000	L000190	12600000	18900000	L000040
O000162	11700000	18000000	L000077	12600000	22500000	L000000
O000163	4500000	12600000	L000016	9000000	13500000	L000140
O000164	9900000	11700000	L000140	11700000	12600000	L000001
O000165	4500000	8100000	L000170	6300000	9000000	L000134
O000166	5400000	9000000	L000134	7200000	10800000	L000199
O000167	7200000	9900000	L000156	9000000	16200000	L000062
O000168	4500000	8100000	L000065	4500000	9900000	L000073
O000169	8100000	9900000	L000139	9000000	11700000	L000157
O000170	5400000	8100000	L000028	6300000	10800000	L000165
O000171	3600000	9900000	L000028	8100000	11700000	L000165
O000172	7200000	9900000	L000165	9000000	12600000	L000035
O000173	9900000	11700000	L000035	10800000	13500000	L000049
O000174	8100000	14400000	L000049	8100000	15300000	L000098
O000175	7200000	15300000	L000098	10800000	18000000	L000002
O000176	13500000	16200000	L000002	17100000	18900000	L000012
O000177	18000000	18900000	L000012	18000000	19800000	L000062
O000178	17100000	18900000	L000012	18000000	19800000	L000062
O000179	5400000	8100000	L000057	6300000	9900000	L000124
O000180	5400000	12600000	L000179	6300000	15300000	L000193
O000181	8100000	10800000	L000193	11700000	13500000	L000109
O000182	11700000	14400000	L000166	11700000	16200000	L000175
O000183	12600000	15300000	L000164	15300000	19800000	L000062
O000184	5400000	9900000	L000025	7200000	10800000	L000023
O000185	9000000	10800000	L000124	9900000	11700000	L000095
O000186	9900000	11700000	L000095	9900000	12600000	L000066
O000187	9900000	12600000	L000145	10800000	13500000	L000154
O000188	11700000	16200000	L000102	14400000	17100000	L000139
O000189	10800000	12600000	L000078	11700000	12600000	L000086
O000190	6300000	8100000	L000198	7200000	8100000	L000145
O000191	5400000	9000000	L000145	6300000	11700000	L000083
O000192	2700000	10800000	L000198	5400000	12600000	L000083
O000193	9000000	9900000	L000121	9900000	11700000	L000007
O000194	9900000	11700000	L000007	14400000	15300000	L000002
O000195	13500000	17100000	L000002	18000000	19800000	L000093
O000196	11700000	16200000	L000002	14400000	21600000	L000116
O000197	15300000	20700000	L000116	17100000	21600000	L000139
O000198	9000000	10800000	L000072	9000000	10800000	L000030
O000199	8100000	12600000	L000064	9900000	14400000	L000108
O000200	8100000	11700000	L000108	9000000	13500000	L000130
O000201	11700000	12600000	L000073	11700000	14400000	L000044
O000202	15300000	17100000	L000164	18000000	19800000	L000044
O000203	18000000	21600000	L000088	23400000	26100000	L000000
O000204	7200000	11700000	L000130	10800000	13500000	L000170
O000205	5400000	12600000	L000170	7200000	13500000	L000149
O000206	9900000	11700000	L000170	9900000	11700000	L000149
O000207	10800000	12600000	L000149	11700000	14400000	L000086
O000208	8100000	14400000	L000149	12600000	15300000	L000157
O000209	9900000	11700000	L000080	11700000	14400000	L000197
O000210	10800000	14400000	L000197	13500000	16200000	L000000
O000211	3600000	8100000	L000056	4500000	9900000	L000069
O000212	8100000	10800000	L000183	9000000	11700000	L000180
O000213	5400000	14400000	L000180	9900000	16200000	L000078
O000214	12600000	13500000	L000078	12600000	13500000	L000116
O000215	12600000	13500000	L000116	12600000	15300000	L000005
O000216	12600000	14400000	L000005	14400000	15300000	L000084
O000217	13500000	15300000	L000084	15300000	16200000	L000021
O000218	8100000	10800000	L000105	9000000	12600000	L000180
O000219	9900000	11700000	L000180	10800000	12600000	L000163
O000220	8100000	11700000	L000163	8100000	11700000	L000187
O000221	10800000	12600000	L000060	15300000	18900000	L000165
O000222	15300000	18000000	L000165	18900000	21600000	L000114
O000223	18000000	19800000	L000114	20700000	24300000	L000181
O000224	26100000	29700000	L000010	31500000	36000000	L000000
O000225	3600000	10800000	L000017	4500000	11700000	L000118
O000226	7200000	9900000	L000118	11700000	13500000	L000000
O000227	15300000	16200000	L000019	16200000	17100000	L000070
O000228	16200000	17100000	L000070	16200000	17100000	L000069
O000229	16200000	18000000	L000069	17100000	19800000	L000150
O000230	18000000	18900000	L000150	18900000	21600000	L000000
O000231	18900000	21600000	L000000	20700000	25200000	L000167
O000232	20700000	26100000	L000165	22500000	27000000	L000091
O000233	4500000	12600000	L000187	7200000	14400000	L000112
O000234	7200000	9000000	L000187	9000000	12600000	L000112
O000235	10800000	12600000	L000108	11700000	14400000	L000027
O000236	9900000	12600000	L000108	12600000	15300000	L000027
O000237	14400000	17100000	L000173	16200000	20700000	L000134
O000238	12600000	18900000	L000173	16200000	20700000	L000134
O000239	20700000	21600000	L000161	20700000	21600000	L000195
O000240	20700000	23400000	L000195	20700000	24300000	L000129
O000241	4500000	8100000	L000023	7200000	10800000	L000135
O000242	8100000	9000000	L000135	8100000	9900000	L000083
O000243	9000000	9900000	L000099	9000000	10800000	L000038
O000244	8100000	9900000	L000038	9000000	10800000	L000049
O000245	9000000	10800000	L000041	9900000	12600000	L000090
O000246	12600000	14400000	L000182	14400000	16200000	L000074
O000247	3600000	4500000	L000095	3600000	6300000	L000065
O000248	2700000	5400000	L000065	5400000	7200000	L000157
O000249	5400000	6300000	L000173	5400000	7200000	L000162
O000250	2700000	8100000	L000173	4500000	10800000	L000129
O000251	3600000	8100000	L000096	4500000	8100000	L000094
O000252	6300000	8100000	L000069	8100000	9900000	L000037
O000253	9000000	9900000	L000075	9900000	11700000	L000018
O000254	9000000	10800000	L000018	9000000	11700000	L000106
O000255	9900000	10800000	L000106	10800000	11700000	L000056
O000256	10800000	11700000	L000056	10800000	13500000	L000069
O000257	0	5400000	L000195	0	6300000	L000067
O000258	4500000	6300000	L000047	5400000	8100000	L000176
O000259	5400000	9000000	L000192	8100000	11700000	L000023
O000260	8100000	9900000	L000023	8100000	10800000	L000031
O000261	8100000	10800000	L000031	8100000	12600000	L000072
O000262	9000000	11700000	L000072	11700000	12600000	L000157
O000263	9000000	10800000	L000104	9000000	13500000	L000060
O000264	8100000	11700000	L000060	16200000	18900000	L000002
O000265	4500000	9000000	L000163	6300000	12600000	L000189
O000266	8100000	9000000	L000189	9000000	12600000	L000084
O000267	9000000	10800000	L000128	9900000	12600000	L000009
O000268	8100000	13500000	L000009	10800000	16200000	L000163
O000269	10800000	18000000	L000058	14400000	19800000	L000001
O000270	7200000	8100000	L000094	7200000	9900000	L000099
O000271	7200000	8100000	L000094	7200000	8100000	L000099
O000272	1800000	9000000	L000094	4500000	10800000	L000028
O000273	7200000	9000000	L000021	7200000	10800000	L000064
O000274	8100000	9900000	L000064	8100000	10800000	L000130
O000275	8100000	10800000	L000130	10800000	11700000	L000139
O000276	9000000	9900000	L000064	9900000	11700000	L000139
O000277	9000000	10800000	L000064	9900000	12600000	L000139
O000278	9000000	14400000	L000168	9000000	15300000	L000081
O000279	11700000	13500000	L000081	13500000	15300000	L000150
O000280	14400000	17100000	L000098	17100000	20700000	L000151
O000281	18000000	18900000	L000151	19800000	21600000	L000080
O000282	17100000	21600000	L000080	18000000	24300000	L000110
O000283	13500000	25200000	L000110	17100000	26100000	L000154
O000284	22500000	26100000	L000154	23400000	27900000	L000043
O000285	25200000	27000000	L000058	28800000	29700000	L000156
O000286	27900000	29700000	L000156	28800000	30600000	L000164
O000287	28800000	29700000	L000164	28800000	29700000	L000171
O000288	27000000	29700000	L000171	27000000	30600000	L000154
O000289	28800000	30600000	L000188	29700000	30600000	L000147
O000290	28800000	30600000	L000147	29700000	32400000	L000163
O000291	8100000	10800000	L000187	11700000	13500000	L000035
O000292	10800000	12600000	L000066	11700000	14400000	L000012
O000293	10800000	14400000	L000012	14400000	16200000	L000167
O000294	14400000	16200000	L000167	17100000	18000000	L000059
O000295	16200000	18000000	L000059	18000000	19800000	L000017
O000296	17100000	18900000	L000088	17100000	18900000	L000130
O000297	18000000	18900000	L000130	18000000	19800000	L000080
O000298	18000000	18900000	L000080	18000000	19800000	L000074
O000299	18900000	19800000	L000111	18900000	20700000	L000031
O000300	18900000	20700000	L000031	19800000	20700000	L000032
O000301	18000000	20700000	L000032	18900000	22500000	L000071
O000302	7200000	8100000	L000069	8100000	10800000	L000195
O000303	9000000	11700000	L000180	9900000	12600000	L000051
O000304	9000000	14400000	L000051	10800000	16200000	L000028
O000305	9900000	12600000	L000051	11700000	14400000	L000010
O000306	12600000	15300000	L000028	12600000	17100000	L000010
O000307	9900000	13500000	L000010	11700000	16200000	L000063
O000308	10800000	13500000	L000010	11700000	15300000	L000063
O000309	9900000	15300000	L000063	10800000	17100000	L000003
O000310	6300000	8100000	L000137	7200000	9900000	L000055
O000311	9000000	9900000	L000068	10800000	10800000	L000139
O000312	8100000	9900000	L000010	10800000	13500000	L000163
O000313	7200000	9900000	L000010	12600000	14400000	L000112
O000314	4500000	7200000	L000087	6300000	9000000	L000009
O000315	6300000	8100000	L000009	8100000	9000000	L000120
O000316	900000	1800000	L000018	3600000	5400000	L000155
O000317	900000	2700000	L000018	3600000	4500000	L000155
O000318	1800000	8100000	L000174	5400000	9900000	L000030
O000319	3600000	6300000	L000174	7200000	8100000	L000030
O000320	6300000	9000000	L000082	9000000	11700000	L000194
O000321	6300000	9900000	L000082	10800000	13500000	L000125
O000322	11700000	12600000	L000125	11700000	12600000	L000003
O000323	900000	4500000	L000082	2700000	5400000	L000172
O000324	1800000	6300000	L000172	5400000	11700000	L000031
O000325	8100000	9000000	L000041	8100000	10800000	L000103
O000326	1800000	2700000	L000022	1800000	4500000	L000135
O000327	900000	3600000	L000135	2700000	5400000	L000138
O000328	2700000	6300000	L000008	4500000	7200000	L000045
O000329	3600000	7200000	L000045	4500000	9900000	L000092
O000330	5400000	6300000	L000092	5400000	6300000	L000062
O000331	0	1800000	L000196	0	3600000	L000139
O000332	0	900000	L000196	1800000	3600000	L000102
O000333	0	4500000	L000102	0	5400000	L000026
O000334	0	1800000	L000196	1800000	4500000	L000026
O000335	1800000	3600000	L000026	1800000	5400000	L000082
O000336	1800000	3600000	L000026	2700000	4500000	L000079
O000337	3600000	4500000	L000079	3600000	4500000	L000136
O000338	1800000	4500000	L000079	2700000	4500000	L000136
O000339	2700000	6300000	L000114	4500000	8100000	L000191
O000340	3600000	5400000	L000114	5400000	6300000	L000191
O000341	0	10800000	L000114	2700000	12600000	L000064
O000342	6300000	8100000	L000064	9000000	10800000	L000139
O000343	5400000	7200000	L000191	9000000	9900000	L000139
O000344	2700000	7200000	L000119	3600000	9000000	L000098
O000345	900000	11700000	L000098	4500000	13500000	L000002
O000346	0	3600000	L000149	3600000	8100000	L000015
O000347	3600000	6300000	L000015	5400000	8100000	L000021
O000348	5400000	6300000	L000021	5400000	8100000	L000060
O000349	2700000	9000000	L000089	6300000	14400000	L000182
O000350	8100000	9900000	L000182	10800000	13500000	L000008
O000351	12600000	13500000	L000060	12600000	15300000	L000073
O000352	13500000	14400000	L000073	14400000	17100000	L000153
O000353	14400000	16200000	L000153	16200000	18000000	L000154
O000354	16200000	17100000	L000158	16200000	18000000	L000186
O000355	16200000	18000000	L000189	17100000	18000000	L000165
O000356	14400000	18900000	L000165	16200000	20700000	L000000
O000357	3600000	5400000	L000116	3600000	5400000	L000113
O000358	2700000	5400000	L000113	2700000	8100000	L000138
O000359	3600000	5400000	L000138	4500000	5400000	L000096
O000360	900000	7200000	L000116	2700000	11700000	L000015
O000361	3600000	5400000	L000116	5400000	6300000	L000015
O000362	900000	7200000	L000015	7200000	12600000	L000002
O000363	5400000	8100000	L000015	7200000	12600000	L000002
O000364	0	3600000	L000193	0	5400000	L000146
O000365	1800000	9900000	L000032	2700000	10800000	L000003
O000366	6300000	8100000	L000132	8100000	9000000	L000070
O000367	7200000	8100000	L000132	8100000	9000000	L000031
O000368	9900000	12600000	L000179	12600000	16200000	L000074
O000369	12600000	14400000	L000074	14400000	18000000	L000001
O000370	11700000	14400000	L000074	16200000	17100000	L000001
O000371	4500000	8100000	L000048	7200000	9900000	L000114
O000372	7200000	8100000	L000114	7200000	9000000	L000062
O000373	9000000	9900000	L000120	9900000	12600000	L000175
O000374	9000000	9900000	L000120	10800000	11700000	L000175
O000375	11700000	14400000	L000046	15300000	17100000	L000165
O000376	9000000	13500000	L000058	9000000	16200000	L000096
O000377	9900000	11700000	L000042	13500000	14400000	L000000
O000378	2700000	5400000	L000149	4500000	7200000	L000161
O000379	3600000	7200000	L000161	6300000	9000000	L000134
O000380	5400000	7200000	L000134	5400000	7200000	L000097
O000381	3600000	8100000	L000059	4500000	10800000	L000022
O000382	5400000	10800000	L000130	7200000	12600000	L000157
O000383	6300000	8100000	L000149	9000000	9900000	L000004
O000384	9000000	10800000	L000004	11700000	13500000	L000169
O000385	9900000	15300000	L000169	11700000	18000000	L000016
O000386	9000000	18900000	L000016	10800000	20700000	L000062
O000387	5400000	6300000	L000094	5400000	7200000	L000127
O000388	8100000	10800000	L000151	12600000	14400000	L000123
O000389	11700000	13500000	L000124	11700000	14400000	L000063
O000390	14400000	16200000	L000171	18900000	19800000	L000042
O000391	18900000	19800000	L000042	18900000	20700000	L000007
O000392	23400000	25200000	L000146	27000000	28800000	L000129
O000393	26100000	27900000	L000129	26100000	28800000	L000082
O000394	27000000	28800000	L000082	27000000	31500000	L000108
O000395	27900000	28800000	L000108	27900000	30600000	L000036
O000396	8100000	9000000	L000106	9000000	10800000	L000061
O000397	9000000	9900000	L000061	9000000	10800000	L000079
O000398	8100000	11700000	L000079	12600000	16200000	L000002
O000399	3600000	9000000	L000168	6300000	12600000	L000024
O000400	7200000	9900000	L000056	9000000	12600000	L000170
O000401	7200000	10800000	L000085	9900000	13500000	L000174
O000402	7200000	10800000	L000174	9900000	13500000	L000002
O000403	7200000	9900000	L000059	9000000	10800000	L000013
O000404	4500000	5400000	L000083	4500000	8100000	L000053
O000405	1800000	7200000	L000053	2700000	9900000	L000129
O000406	7200000	8100000	L000033	9000000	10800000	L000167
O000407	10800000	11700000	L000087	10800000	11700000	L000013
O000408	10800000	13500000	L000134	10800000	15300000	L000175
O000409	2700000	9000000	L000069	2700000	10800000	L000068
O000410	4500000	11700000	L000068	6300000	13500000	L000018
O000411	7200000	11700000	L000018	11700000	13500000	L000000
O000412	6300000	9900000	L000017	9000000	12600000	L000087
O000413	8100000	14400000	L000138	9000000	17100000	L000094
O000414	9000000	14400000	L000094	9000000	15300000	L000142
O000415	12600000	14400000	L000142	15300000	16200000	L000092
O000416	11700000	14400000	L000142	13500000	18000000	L000092
O000417	12600000	18900000	L000011	16200000	20700000	L000174
O000418	14400000	18900000	L000011	18000000	22500000	L000001
O000419	3600000	9000000	L000154	4500000	9900000	L000000
O000420	5400000	8100000	L000154	7200000	9900000	L000000
O000421	4500000	9900000	L000000	8100000	14400000	L000183
O000422	6300000	9900000	L000000	11700000	14400000	L000082
O000423	9900000	12600000	L000082	11700000	13500000	L000133
O000424	11700000	12600000	L000082	11700000	12600000	L000133
O000425	5400000	7200000	L000174	8100000	9000000	L000065
O000426	5400000	9900000	L000065	7200000	11700000	L000007
O000427	8100000	9900000	L000047	9000000	10800000	L000019
O000428	2700000	7200000	L000164	5400000	12600000	L000092
O000429	2700000	6300000	L000164	6300000	9900000	L000092
O000430	7200000	9900000	L000119	9900000	12600000	L000139
O000431	3600000	7200000	L000036	4500000	11700000	L000194
O000432	7200000	10800000	L000194	9000000	12600000	L000062
O000433	8100000	9000000	L000188	9000000	10800000	L000113
O000434	9000000	11700000	L000113	9900000	12600000	L000166
O000435	4500000	6300000	L000093	4500000	8100000	L000094
O000436	6300000	9000000	L000180	6300000	10800000	L000195
O000437	5400000	8100000	L000195	6300000	9000000	L000139
O000438	9900000	10800000	L000000	12600000	14400000	L000180
O000439	10800000	15300000	L000180	14400000	17100000	L000002
O000440	7200000	8100000	L000167	7200000	8100000	L000187
O000441	5400000	9900000	L000187	5400000	11700000	L000004
O000442	7200000	8100000	L000105	7200000	8100000	L000106
O000443	7200000	9900000	L000026	9900000	10800000	L000142
O000444	11700000	12600000	L000129	14400000	18000000	L000002
O000445	6300000	7200000	L000005	8100000	11700000	L000193
O000446	4500000	8100000	L000005	7200000	12600000	L000139
O000447	4500000	9900000	L000168	8100000	14400000	L000133
O000448	10800000	13500000	L000031	11700000	15300000	L000068
O000449	10800000	17100000	L000068	16200000	19800000	L000000
O000450	5400000	7200000	L000120	6300000	7200000	L000115
O000451	6300000	8100000	L000115	6300000	9900000	L000198
O000452	7200000	10800000	L000198	9000000	13500000	L000104
O000453	8100000	13500000	L000104	9000000	15300000	L000157
O000454	4500000	7200000	L000114	6300000	12600000	L000163
O000455	7200000	9000000	L000163	8100000	10800000	L000139
O000456	5400000	9900000	L000147	5400000	11700000	L000049
O000457	8100000	9000000	L000049	8100000	10800000	L000110
O000458	4500000	15300000	L000163	5400000	19800000	L000003
O000459	3600000	6300000	L000125	3600000	7200000	L000052
O000460	4500000	6300000	L000052	5400000	9000000	L000004
O000461	4500000	5400000	L000109	4500000	6300000	L000138
O000462	4500000	9000000	L000064	6300000	9900000	L000137
O000463	3600000	9000000	L000137	4500000	9900000	L000072
O000464	8100000	9000000	L000072	8100000	9900000	L000015
O000465	7200000	9000000	L000015	8100000	10800000	L000098
O000466	9000000	9900000	L000098	11700000	13500000	L000001
O000467	7200000	9000000	L000087	7200000	9900000	L000091
O000468	9000000	9900000	L000091	9000000	10800000	L000082
O000469	6300000	9000000	L000087	7200000	9900000	L000082
O000470	9900000	16200000	L000148	12600000	17100000	L000131
O000471	14400000	16200000	L000059	15300000	17100000	L000035
O000472	15300000	18900000	L000059	17100000	20700000	L000144
O000473	14400000	21600000	L000035	18900000	25200000	L000001
O000474	8100000	9000000	L000118	8100000	9900000	L000132
O000475	7200000	9000000	L000132	8100000	11700000	L000030
O000476	7200000	9900000	L000028	9000000	10800000	L000021
O000477	6300000	9900000	L000021	11700000	17100000	L000002
O000478	3600000	6300000	L000158	5400000	9000000	L000017
O000479	4500000	9900000	L000051	7200000	14400000	L000126
O000480	7200000	9000000	L000126	7200000	9000000	L000067
O000481	4500000	5400000	L000143	4500000	7200000	L000168
O000482	3600000	5400000	L000168	5400000	8100000	L000126
O000483	4500000	5400000	L000143	6300000	8100000	L000126
O000484	1800000	9000000	L000126	2700000	11700000	L000109
O000485	6300000	8100000	L000062	9000000	9900000	L000157
O000486	11700000	13500000	L000050	13500000	14400000	L000100
O000487	10800000	15300000	L000100	12600000	16200000	L000028
O000488	13500000	15300000	L000028	14400000	17100000	L000037
O000489	14400000	16200000	L000005	16200000	18900000	L000116
O000490	14400000	17100000	L000116	16200000	18900000	L000127
O000491	16200000	17100000	L000127	16200000	18900000	L000117
O000492	17100000	19800000	L000117	19800000	23400000	L000173
O000493	21600000	26100000	L000106	27900000	31500000	L000000
O000494	8100000	9900000	L000028	9000000	11700000	L000003
O000495	9900000	11700000	L000003	11700000	12600000	L000163
O000496	10800000	12600000	L000163	11700000	13500000	L000001
