%id	start
C000322	L000001
C000323	L000001
C000324	L000135
C000325	L000001
C000326	L000224
C000327	L000001
C000328	L000001
C000329	L000102
C000330	L000102
C000331	L000000
C000332	L000000
C000333	L000003
C000334	L000102
C000335	L000224
C000336	L000004
C000337	L000241
C000338	L000000
C000339	L000135
C000340	L000101
C000341	L000102
C000342	L000102
C000343	L000102
C000344	L000102
C000345	L000001
C000346	L000001
C000347	L000001
C000348	L000102
C000349	L000000
C000350	L000135
C000351	L000002
C000352	L000002
C000353	L000003
C000354	L000003
C000355	L000003
C000356	L000004
C000357	L000002
C000358	L000002
C000359	L000209
C000360	L000001
C000361	L000001
C000362	L000209
C000363	L000101
C000364	L000101
C000365	L000135
C000366	L000004
C000367	L000000
C000368	L000224
C000369	L000209
C000370	L000000
C000371	L000000
C000372	L000001
C000373	L000209
C000374	L000001
C000375	L000209
C000376	L000102
C000377	L000000
C000378	L000000
C000379	L000101
C000380	L000004
C000381	L000002
C000382	L000002
C000383	L000003
C000384	L000003
C000385	L000241
C000386	L000000
C000387	L000002
C000388	L000000
C000389	L000101
C000390	L000101
C000391	L000001
