%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000066	L000001	1	1	160	50
T000067	L000004	3	2	290	45
T000068	L000004	2	1	145	50
T000069	L000001	1	1	130	55
T000070	L000003	3	1	160	50
T000071	L000102	2	2	150	30
T000072	L000209	1	1	185	50
T000073	L000000	1	2	205	55
T000074	L000224	1	2	135	50
T000075	L000001	3	2	165	40
T000076	L000209	1	2	135	55
T000077	L000102	2	2	150	45
T000078	L000209	3	2	230	50
T000079	L000224	1	1	130	45
T000080	L000135	1	2	170	50
T000081	L000241	3	1	215	35
T000082	L000241	3	2	165	35
T000083	L000003	2	2	250	45
T000084	L000004	1	2	205	55
T000085	L000101	3	2	165	30
T000086	L000224	3	2	165	45
T000087	L000241	1	2	170	50
T000088	L000101	2	1	145	55
T000089	L000224	1	1	185	55
T000090	L000000	3	2	165	50
T000091	L000000	2	2	150	30
T000092	L000101	3	1	160	35
T000093	L000002	1	2	135	50
T000094	L000101	1	1	185	55
T000095	L000135	3	1	270	60
T000096	L000102	2	1	185	50
T000097	L000003	1	2	205	50
T000098	L000101	1	1	160	45
T000099	L000101	2	1	145	40
T000100	L000209	2	1	185	30
T000101	L000004	1	1	185	45
T000102	L000135	2	1	230	50
T000103	L000135	2	2	200	50
T000104	L000241	3	1	215	50
T000105	L000209	3	2	165	30
T000106	L000000	2	1	230	50
T000107	L000101	3	1	215	45
T000108	L000241	2	2	200	30
T000109	L000135	3	2	165	50
T000110	L000135	1	1	160	60
T000111	L000241	2	1	145	60
T000112	L000241	1	1	160	45
T000113	L000101	1	1	185	60
T000114	L000241	2	1	230	35
T000115	L000004	3	2	230	45
T000116	L000101	1	1	185	50
T000117	L000001	1	2	135	55
T000118	L000002	3	2	290	35
T000119	L000101	1	1	160	55
T000120	L000004	2	1	145	50
T000121	L000000	3	1	160	30
T000122	L000209	1	2	135	55
T000123	L000224	2	1	230	55
T000124	L000209	3	2	290	55
T000125	L000102	2	2	150	30
T000126	L000000	1	2	135	55
T000127	L000101	2	2	250	40
T000128	L000002	3	2	165	30
T000129	L000135	3	1	160	30
T000130	L000000	2	1	230	60
T000131	L000209	1	1	185	50
T000132	L000001	2	1	230	55
T000133	L000001	3	2	165	35
T000134	L000241	2	2	150	50
T000135	L000004	3	1	215	30
T000136	L000209	1	1	185	50
T000137	L000003	3	2	230	45
T000138	L000001	2	1	185	30
T000139	L000209	2	1	145	55
T000140	L000004	2	2	150	35
T000141	L000001	2	1	145	30
T000142	L000101	1	2	205	45
T000143	L000241	3	2	290	55
T000144	L000224	3	1	160	35
T000145	L000004	2	2	200	55
T000146	L000209	3	2	230	35
T000147	L000001	1	2	170	50
T000148	L000001	3	1	160	40
T000149	L000001	3	2	230	40
T000150	L000135	3	1	160	60
T000151	L000241	2	2	250	30
T000152	L000102	1	1	160	50
T000153	L000003	2	2	200	55
T000154	L000224	3	1	160	55
T000155	L000101	1	2	170	45
T000156	L000102	3	1	270	35
T000157	L000224	1	1	130	55
T000158	L000224	2	2	200	55
T000159	L000101	1	1	185	50
T000160	L000102	2	1	230	45
T000161	L000241	3	1	270	35
T000162	L000135	2	2	200	50
T000163	L000003	1	1	185	55
T000164	L000001	3	2	230	55
T000165	L000001	2	2	200	45
T000166	L000002	3	1	270	50
T000167	L000001	1	1	185	50
T000168	L000224	3	2	290	50
T000169	L000102	2	1	145	35
T000170	L000135	2	2	200	45
T000171	L000241	2	2	150	30
T000172	L000001	3	2	290	50
T000173	L000004	3	2	290	35
T000174	L000101	3	1	160	40
T000175	L000135	3	1	215	45
T000176	L000001	1	2	170	50
T000177	L000004	1	1	185	45
T000178	L000001	2	1	185	45
T000179	L000001	2	1	230	35
T000180	L000135	2	1	185	50
T000181	L000241	3	2	290	50
T000182	L000004	3	2	230	35
T000183	L000004	2	2	250	60
T000184	L000241	2	1	230	50
T000185	L000135	2	2	250	50
T000186	L000001	2	2	200	50
T000187	L000102	2	1	185	55
T000188	L000224	2	1	145	45
T000189	L000209	3	2	230	55
T000190	L000001	1	1	130	55
T000191	L000004	2	1	145	30
T000192	L000001	1	1	185	55
T000193	L000003	3	2	290	30
T000194	L000101	1	2	170	50
T000195	L000101	2	1	185	30
T000196	L000004	1	2	205	45
T000197	L000002	1	2	205	45
T000198	L000241	1	1	130	60
T000199	L000224	1	1	185	50
T000200	L000000	3	1	270	30
T000201	L000102	3	1	270	45
T000202	L000135	3	1	270	40
T000203	L000135	1	2	135	55
T000204	L000224	3	1	270	55
T000205	L000241	1	2	135	50
T000206	L000000	1	2	135	50
T000207	L000102	2	2	200	40
T000208	L000001	1	1	185	50
T000209	L000102	1	2	170	50
T000210	L000224	1	1	185	45
T000211	L000001	1	2	135	60
T000212	L000224	1	1	185	45
T000213	L000001	2	2	200	55
T000214	L000135	3	2	290	40
T000215	L000101	3	2	165	30
T000216	L000003	1	2	135	50
T000217	L000004	3	1	160	50
T000218	L000003	2	1	145	35
T000219	L000102	2	2	200	50
T000220	L000209	3	1	215	45
T000221	L000000	2	1	145	50
T000222	L000101	1	1	185	50
T000223	L000209	1	2	170	50
T000224	L000101	1	2	205	50
T000225	L000000	2	1	230	40
T000226	L000002	1	1	160	55
T000227	L000000	1	2	135	55
T000228	L000004	2	1	185	35
T000229	L000101	2	1	145	50
T000230	L000001	1	1	130	50
T000231	L000209	2	1	230	55
T000232	L000224	1	2	205	50
T000233	L000001	1	2	135	45
T000234	L000135	1	1	130	50
T000235	L000001	1	2	205	50
T000236	L000241	3	2	230	30
T000237	L000004	1	1	185	55
T000238	L000102	1	2	205	50
T000239	L000209	3	2	230	45
T000240	L000241	2	1	185	50
T000241	L000101	1	2	170	50
T000242	L000224	3	2	290	45
T000243	L000209	1	1	185	50
T000244	L000224	3	2	165	50
T000245	L000001	3	1	160	35
T000246	L000135	1	1	185	50
T000247	L000001	2	2	150	50
T000248	L000224	2	2	250	40
T000249	L000001	3	2	290	30
T000250	L000102	3	1	160	35
T000251	L000000	3	2	230	50
T000252	L000003	1	2	205	55
T000253	L000102	1	1	185	50
T000254	L000224	2	1	230	50
T000255	L000004	2	2	250	60
T000256	L000241	2	1	145	50
T000257	L000000	1	1	185	45
T000258	L000135	3	1	270	50
T000259	L000101	1	2	135	55
T000260	L000102	1	1	130	45
T000261	L000102	2	1	185	35
T000262	L000102	1	1	130	45
T000263	L000001	3	2	165	50
T000264	L000102	1	2	205	45
T000265	L000000	1	1	185	55
T000266	L000135	1	1	160	45
T000267	L000002	3	1	160	55
T000268	L000003	3	1	215	50
T000269	L000004	2	2	200	50
T000270	L000002	2	1	145	45
T000271	L000209	1	2	170	45
T000272	L000001	2	2	250	40
T000273	L000001	2	1	185	35
T000274	L000209	3	2	165	50
T000275	L000101	2	2	150	50
T000276	L000135	3	2	165	50
T000277	L000004	1	1	130	45
T000278	L000003	3	2	230	55
T000279	L000000	2	2	150	40
T000280	L000001	2	2	150	40
T000281	L000224	2	2	250	35
T000282	L000135	3	1	160	55
T000283	L000101	1	1	185	45
T000284	L000135	1	2	205	50
T000285	L000001	3	2	290	50
T000286	L000224	1	2	170	55
T000287	L000224	2	2	150	35
T000288	L000135	1	2	135	55
T000289	L000003	2	2	200	45
T000290	L000002	1	1	130	55
T000291	L000003	2	2	200	60
T000292	L000224	1	1	160	50
T000293	L000209	3	1	215	45
T000294	L000209	1	1	130	50
T000295	L000004	2	1	230	55
T000296	L000135	2	2	250	30
T000297	L000101	3	1	160	50
T000298	L000102	1	2	205	50
T000299	L000241	2	1	230	45
T000300	L000135	2	1	185	60
T000301	L000000	2	1	230	50
T000302	L000001	3	1	215	50
